id,varname,description
var1,StartDate,"Start time of the survey"
var2,EndDate,"End time of the survey"
var3,Duration__in_seconds_,"Survey duration time"
var4,RecordedDate,"Date of the survey"
var5,Q70,"The response for the attention check - should be 8"
var6,ATTNCorrect,"was the response correct to the attention check - 0 no, 1 yes"
var7,A1,"var7 - var31 - Literacy test question: 1 = correct, 0= incorrect"
var8,A2,
var9,A3,
var10,A4,
var11,A5,
var12,A6,
var13,A7,
var14,A8,
var15,A9,
var16,A10,
var17,A11,
var18,A12,
var19,A13,
var20,A14,
var21,A15,
var22,A16,
var23,A17,
var24,A18,
var25,A19,
var26,A20,
var27,A21,
var28,A22,
var29,A23,
var30,A24,
var31,A25,
var32,Q69,"Artificial intelligence seems to conjure answers out of thin air - 7-point scales with 1 – strongly disagree, 7 – strongly agree"
var33,Q71,"Artificial intelligence seems like wizardry - 7-point scales with 1 – strongly disagree, 7 – strongly agree"
var34,Q72,"Artificial intelligence seems supernatural - 7-point scales with 1 – strongly disagree, 7 – strongly agree"
var35,Q73,"Artificial intelligence seems magical - 7-point scales with 1 – strongly disagree, 7 – strongly agree"
var36,Q74,"Artificial intelligence seems irrational - 7-point scales with 1 – strongly disagree, 7 – strongly agree"
var37,Q75,"Artificial intelligence has an air of mystique - 7-point scales with 1 – strongly disagree, 7 – strongly agree"
var38,Q76,"If I could see how artificial intelligence works, it would look like a magic show - 7-point scales with 1 – strongly disagree, 7 – strongly agree"
var39,tasks_1,"Creating a new recipe - Task rated from Definitely prefer the human  (1) to Definitely prefer the AI algorithm (7)"
var40,tasks_2,"Designing a business plan  - Task rated from Definitely prefer the human  (1) to Definitely prefer the AI algorithm (7)"
var41,tasks_3,"Recommending what to do on a date  - Task rated from Definitely prefer the human  (1) to Definitely prefer the AI algorithm (7)"
var42,tasks_4,"On-boarding/training new employees  - Task rated from Definitely prefer the human  (1) to Definitely prefer the AI algorithm (7)"
var43,tasks_5,"Coming up with a funny story  - Task rated from Definitely prefer the human  (1) to Definitely prefer the AI algorithm (7)"
var44,Gender,"self reported - o	Male  (1)  o	Female  (0)  o	Non-binary / Third gender  (2)  o	Other  (3)  o	Prefer not to say  (4) "
var45,Age,"Reported age by users"
var46,SC0,"Sum of the scores for the 25 item AI Literacy measure"
var47,age.0,"Age (reported by lucid)"
var48,gender.0,"gender reported by lucid - 1 - male, 2- female"
var49,hhi,"What is your current Annual household income before taxes?		 hhi	1	Less than $14,999 hhi	2	$15,000 to $19,999 hhi	3	$20,000 to $24,999 hhi	4	$25,000 to $29,999 hhi	5	 $30,000 to $34,999 hhi	6	 $35,000 to $39,999 hhi	7	$40,000 to $44,999 hhi	8	$45,000 to $49,999 hhi	9	 $50,000 to $54,999 hhi	10	 $55,000 to $59,999 hhi	11	$60,000 to $64,999 hhi	12	 $65,000 to $69,999 hhi	13	$70,000 to $74,999 hhi	14	$75,000 to $79,999 hhi	15	$80,000 to $84,999 hhi	16	$85,000 to $89,999 hhi	17	$90,000 to $94,999 hhi	18	$95,000 to $99,999 hhi	19	$100,000 to $124,999 hhi	20	$125,000 to $149,999 hhi	21	$150,000 to $174,999 hhi	22	$175,000 to $199,999 hhi	23	 $200,000 to $249,999 hhi	24	$250,000 and above hhi	-3105	Prefer not to answer"
var50,education,"What is the highest level of education you have completed?		 education	1	Some high school or less education	2	High school graduate education	3	Other post high school vocational training education	4	Completed some college, but no degree education	5	Associate's degree education	6	Bachelor's degree education	7	Master's or professional degree education	8	Doctorate degree education	-3105	None of the above"
var51,political_party,"political_party	1	Strong Democrat political_party	2	Not very strong Democrat political_party	3	Independent Democrat political_party	4	Independent - neither political_party	5	Independent Republican political_party	6	Other - leaning Democrat political_party	7	Other - neither political_party	8	Other - leaning Republican political_party	9	Not very strong Republican political_party	10	Strong Republican"
var52,region,"region	1	Northeast region	2	Midwest region	3	South region	4	West"
var53,ethnicity,"ethnicity	1	White  ethnicity	2	Black, or African American ethnicity	3	American Indian or Alaska Native  ethnicity	4	Asian *** Asian Indian  ethnicity	5	Asian *** Chinese  ethnicity	6	Asian *** Filipino  ethnicity	7	Asian *** Japanese  ethnicity	8	Asian *** Korean  ethnicity	9	Asian *** Vietnamese  ethnicity	10	Asian *** Other  ethnicity	11	Pacific Islander *** Native Hawaiian  ethnicity	12	Pacific Islander *** Guamanian  ethnicity	13	Pacific Islander *** Samoan  ethnicity	14	Pacific Islander *** Other Pacific Islander ethnicity	15	Some other race  ethnicity	16	Prefer not to answer "
var54,hispanic,"hispanic	1	No , not of Hispanic, Latino, or Spanish origin hispanic	2	Yes, Mexican, Mexican American, Chicano hispanic	3	Yes, Cuban hispanic	4	Yes, another Hispanic, Latino, or Spanish origin *** Argentina  hispanic	5	Yes, another Hispanic, Latino, or Spanish origin *** Colombia  hispanic	6	Yes, another Hispanic, Latino, or Spanish origin *** Ecuador  hispanic	7	Yes, another Hispanic, Latino, or Spanish origin *** El Salvadore  hispanic	8	Yes, another Hispanic, Latino, or Spanish origin *** Guatemala  hispanic	9	Yes, another Hispanic, Latino, or Spanish origin *** Nicaragua  hispanic	10	Yes, another Hispanic, Latino, or Spanish origin *** Panama  hispanic	11	Yes, another Hispanic, Latino, or Spanish origin *** Peru  hispanic	12	Yes, another Hispanic, Latino, or Spanish origin *** Spain  hispanic	13	Yes, another Hispanic, Latino, or Spanish origin *** Venezuela  hispanic	14	Yes, another Hispanic, Latino, or Spanish origin *** Other Country hispanic	15	Prefer not to answer"
var55,filter_$,"Filter dummy (0 for those who failed the IMC and should not be included and 1 for those that should be included in the analysis)"
var56,MagicalPerceptions,"Average magical perceptions"
var57,Tasks,"average task ratings"
